EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
18SN19970924, A97, 2, 1, 3, 3, 2, 19970925, 0124, 70.4173, -141.6467, 102,     56.6,  -1.4799,  32.7955, 2,  32.7888, 2,    297.6, 2,    300.6, 2,    31.06, 2,    13.57, 2,     0.08, 2,     1.71, 2,    5.340, 2,    2.600, 2,    0.260, 2,    7.840, 2,   2189.0, 2,   2240.1, 2,  -1.4810
18SN19970924, A97, 2, 1, 2, 2, 2, 19970925, 0124, 70.4173, -141.6467, 102,     76.4,  -1.5111,  32.9092, 2,  32.9069, 2,    293.5, 2,    297.2, 2,    32.52, 2,    14.24, 2,     0.03, 2,     1.77, 2,    5.180, 2,    2.520, 2,    0.280, 2,    6.920, 2,   2194.4, 3,   2251.5, 2,  -1.5126
18SN19970924, A97, 2, 1, 1, 1, 2, 19970925, 0124, 70.4173, -141.6467, 102,     93.4,  -1.5071,  32.9871, 2,  32.9420, 2,    288.0, 2,    295.2, 2,    33.25, 2,    14.54, 2,     0.02, 2,     1.78, 2,    4.995, 2,    2.480, 2,    0.305, 2,    7.085, 2,   2196.7, 2,   2269.3, 2,  -1.5089
18SN19970924, A97, 3, 1, 15, 15, 2, 19970925, 0231, 70.4533, -141.6953, 247,      6.8,  -0.4826,  30.9745, 2,  30.9996, 2,    339.8, 2,   -999.0, 9,     7.42, 2,     1.69, 2,     0.03, 2,     0.89, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.4827
18SN19970924, A97, 3, 1, 14, 14, 2, 19970925, 0231, 70.4533, -141.6953, 247,      7.2,  -0.4837,  30.9732, 2,  31.0049, 2,    340.4, 2,    383.5, 2,     7.52, 2,     1.69, 2,     0.03, 2,     0.90, 2,    6.640, 2,    3.400, 2,    0.390, 2,   10.180, 2,   2089.0, 2,   2222.3, 2,  -0.4839
18SN19970924, A97, 3, 1, 13, 13, 2, 19970925, 0231, 70.4533, -141.6953, 247,     21.0,  -0.4691,  31.1894, 2,  31.3468, 2,    370.9, 2,   -999.0, 9,     9.09, 2,     2.73, 2,     0.05, 2,     0.98, 2,    6.620, 2,    3.250, 2,    0.360, 2,   10.350, 2,   -999.0, 9,   -999.0, 9,  -0.4696
18SN19970924, A97, 3, 1, 12, 12, 2, 19970925, 0231, 70.4533, -141.6953, 247,     22.2,  -0.5051,  31.2072, 2,  31.3964, 2,    370.8, 2,    363.9, 2,     9.82, 2,     3.15, 2,     0.06, 2,     1.04, 2,    6.520, 2,    3.230, 2,    0.370, 2,   10.090, 2,   2112.6, 2,   2231.4, 2,  -0.5056
18SN19970924, A97, 3, 1, 11, 11, 2, 19970925, 0231, 70.4533, -141.6953, 247,     38.7,  -1.2201,  32.2776, 2,  32.3412, 2,    335.1, 2,    317.8, 2,    21.65, 2,     9.84, 2,     0.07, 2,     1.44, 2,    5.640, 2,    2.770, 2,    0.310, 2,    9.250, 2,   2159.7, 2,   2243.3, 2,  -1.2209
18SN19970924, A97, 3, 1, 10, 10, 2, 19970925, 0231, 70.4533, -141.6953, 247,     59.4,  -1.4238,  32.5846, 2,  32.6041, 2,    307.1, 2,    306.0, 2,    27.92, 2,    12.38, 2,     0.06, 2,     1.62, 2,    5.100, 2,    2.560, 2,    0.300, 2,    8.100, 2,   2186.0, 2,   2250.7, 2,  -1.4250
18SN19970924, A97, 3, 1, 9, 9, 2, 19970925, 0231, 70.4533, -141.6953, 247,     79.0,  -1.4827,  32.7567, 2,  32.7696, 2,    294.9, 2,    294.2, 2,    31.16, 2,    13.77, 2,     0.02, 2,     1.69, 2,    5.110, 2,    2.460, 2,    0.280, 2,    7.460, 2,   2193.1, 2,   2255.9, 2,  -1.4842
18SN19970924, A97, 3, 1, 8, 8, 2, 19970925, 0231, 70.4533, -141.6953, 247,     97.5,  -1.4735,  32.9097, 2,  32.9270, 2,    291.1, 2,    284.2, 2,    33.14, 2,    15.02, 2,     0.01, 2,     1.78, 2,    3.970, 2,    1.960, 2,    0.190, 2,    4.810, 3,   2202.8, 2,   2256.2, 2,  -1.4755
18SN19970924, A97, 3, 1, 7, 7, 2, 19970925, 0231, 70.4533, -141.6953, 247,    117.7,  -1.4689,  33.0822, 2,  33.0918, 2,    281.2, 2,    282.1, 2,    33.65, 2,    15.16, 2,     0.01, 2,     1.77, 2,    4.260, 2,    2.020, 2,    0.210, 2,    5.780, 3,   2210.9, 2,   2266.3, 2,  -1.4713
18SN19970924, A97, 3, 1, 6, 6, 2, 19970925, 0231, 70.4533, -141.6953, 247,    136.9,  -1.4747,  33.3003, 2,  33.3162, 2,    283.0, 2,    291.9, 2,    34.16, 2,    15.06, 2,     0.01, 2,     1.71, 2,    4.960, 2,    2.590, 2,    0.320, 3,    7.270, 2,   2212.5, 2,   2270.0, 2,  -1.4776
18SN19970924, A97, 3, 1, 5, 5, 2, 19970925, 0231, 70.4533, -141.6953, 247,    157.0,  -1.3213,  33.5631, 2,  33.5743, 2,    289.3, 2,    303.5, 2,    33.21, 2,    15.05, 2,     0.02, 2,     1.65, 2,    5.680, 2,    2.880, 2,    0.310, 3,    8.200, 3,   2205.3, 2,   2273.3, 2,  -1.3249
