EXPOCODE,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,THETA
,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PMOL/KG,,PMOL/KG,,FMOL/KG,,DEGC
  06MT20030626,   328,  1,     19,20030701, 46.4082, -29.9083, 3262,     54.0,  13.6790,  35.8176,2, -999.000,9, -999.000,9,     -999,9, 13.6712957
  06MT20030626,   328,  1,     18,20030701, 46.4082, -29.9083, 3262,    104.0,  12.5750,  35.6921,2, -999.000,9, -999.000,9,     -999,9, 12.5609592
  06MT20030626,   328,  1,     17,20030701, 46.4082, -29.9083, 3262,    199.5,  12.1302,  35.6459,2,    2.758,2,    1.722,2,     -999,9, 12.1038058
  06MT20030626,   328,  1,     16,20030701, 46.4082, -29.9083, 3262,    388.4,  10.9389,  35.4429,2, -999.000,9, -999.000,9,     -999,9, 10.8905139
  06MT20030626,   328,  1,     15,20030701, 46.4082, -29.9083, 3262,    600.9,   8.4025,  35.1515,2, -999.000,9, -999.000,9,     -999,9, 8.33817294
  06MT20030626,   328,  1,     14,20030701, 46.4082, -29.9083, 3262,    806.1,   5.9835,  35.0293,2, -999.000,9, -999.000,9,     -999,9, 5.91075986
  06MT20030626,   328,  1,     13,20030701, 46.4082, -29.9083, 3262,   1008.8,   4.8853,  34.9953,2, -999.000,9, -999.000,9,     -999,9, 4.80125225
  06MT20030626,   328,  1,     12,20030701, 46.4082, -29.9083, 3262,   1260.9,   4.2155,  34.9615,2, -999.000,9, -999.000,9,     -999,9, 4.11461334
  06MT20030626,   328,  1,     11,20030701, 46.4082, -29.9083, 3262,   1510.2,   3.7863,  34.9283,2, -999.000,9, -999.000,9,     -999,9, 3.66768246
  06MT20030626,   328,  1,     10,20030701, 46.4082, -29.9083, 3262,   1766.3,   3.4666,  34.9060,2, -999.000,9, -999.000,9,     -999,9, 3.32883785
  06MT20030626,   328,  1,      9,20030701, 46.4082, -29.9083, 3262,   2021.2,   3.3194,  34.9031,2,    2.304,2,    1.251,2,     -999,9, 3.16018426
  06MT20030626,   328,  1,      8,20030701, 46.4082, -29.9083, 3262,   2274.9,   3.2138,  34.9094,2, -999.000,9, -999.000,9,     -999,9, 3.03211707
  06MT20030626,   328,  1,      7,20030701, 46.4082, -29.9083, 3262,   2528.8,   3.1322,  34.9174,2, -999.000,9, -999.000,9,     -999,9, 2.92703985
  06MT20030626,   328,  1,      6,20030701, 46.4082, -29.9083, 3262,   2781.9,   3.0151,  34.9228,2, -999.000,9, -999.000,9,     -999,9, 2.78665424
  06MT20030626,   328,  1,      5,20030701, 46.4082, -29.9083, 3262,   2934.5,   2.9074,  34.9243,2,    1.498,2,    0.838,2,     -999,9, 2.66547217
  06MT20030626,   328,  1,      4,20030701, 46.4082, -29.9083, 3262,   3138.2,   2.7980,  34.9245,2, -999.000,9, -999.000,9,     -999,9, 2.53715222
  06MT20030626,   328,  1,      3,20030701, 46.4082, -29.9083, 3262,   3199.1,   2.7906,  34.9244,2, -999.000,9, -999.000,9,     -999,9, 2.52346508
  06MT20030626,   328,  1,      2,20030701, 46.4082, -29.9083, 3262,   3251.8,   2.7796,  34.9240,2, -999.000,9, -999.000,9,     -999,9, 2.50709747
  06MT20030626,   328,  1,      1,20030701, 46.4082, -29.9083, 3262,   3250.7,   2.7814,  34.9241,2,    1.338,2,    0.773,2,     -999,9, 2.50897292
  06MT20030626,   332,  1,     24,20030702, 45.3838, -33.1440, 3813,     14.9,  15.7831,  35.9358,2, -999.000,9, -999.000,9,    1.017,2, 15.7807584
  06MT20030626,   332,  1,     23,20030702, 45.3838, -33.1440, 3813,     54.6,  14.1869,  35.8079,2,    2.741,2,    1.666,2,     -999,9, 14.1789177
  06MT20030626,   332,  1,     20,20030702, 45.3838, -33.1440, 3813,    103.9,  13.3353,  35.8478,2, -999.000,9, -999.000,9,     -999,9, 13.3206959
  06MT20030626,   332,  1,     19,20030702, 45.3838, -33.1440, 3813,    203.5,  12.8871,  35.7717,2, -999.000,9, -999.000,9,     -999,9, 12.8590527
  06MT20030626,   332,  1,     18,20030702, 45.3838, -33.1440, 3813,    406.4,  11.7952,  35.5871,2,    2.581,2,    1.708,2,     -999,9, 11.7419788
  06MT20030626,   332,  1,     17,20030702, 45.3838, -33.1440, 3813,    607.8,   9.8465,  35.2706,2, -999.000,9, -999.000,9,    0.585,2, 9.77492688
  06MT20030626,   332,  1,     16,20030702, 45.3838, -33.1440, 3813,    810.1,   6.8772,  35.0270,2, -999.000,9, -999.000,9,     -999,9, 6.79866343
  06MT20030626,   332,  1,     15,20030702, 45.3838, -33.1440, 3813,   1010.8,   5.5053,  35.0639,2,    2.204,2,    1.248,2,    0.423,2, 5.41622693
  06MT20030626,   332,  1,     14,20030702, 45.3838, -33.1440, 3813,   1263.4,   4.5218,  34.9901,2, -999.000,9, -999.000,9,     -999,9, 4.41770385
  06MT20030626,   332,  1,     13,20030702, 45.3838, -33.1440, 3813,   1515.0,   3.9287,  34.9396,2,    2.270,2,    1.294,2,     -999,9, 3.80799626
  06MT20030626,   332,  1,     12,20030702, 45.3838, -33.1440, 3813,   1768.4,   3.5529,  34.9087,2, -999.000,9, -999.000,9,    0.432,2, 3.41379363
  06MT20030626,   332,  1,     11,20030702, 45.3838, -33.1440, 3813,   2023.2,   3.3313,  34.8993,2,    2.282,2,    1.269,2,     -999,9, 3.17173024
  06MT20030626,   332,  1,     10,20030702, 45.3838, -33.1440, 3813,   2276.5,   3.2117,  34.8993,2, -999.000,9, -999.000,9,     -999,9, 3.02993532
  06MT20030626,   332,  1,      9,20030702, 45.3838, -33.1440, 3813,   2531.4,   3.1341,  34.9130,2,    1.766,2,    0.984,2,    0.288,2, 2.92866395
  06MT20030626,   332,  1,      8,20030702, 45.3838, -33.1440, 3813,   2784.0,   3.0101,  34.9224,2, -999.000,9, -999.000,9,    0.153,2, 2.78154226
