BOTTLE,20180319PRINUNIVRMK
# Processed by CCHDO on 2021-05-17, no changes
# 03/09/2018 Initialized README file  
# Data source: J.Jackson 8/29/17  
# SHIP: R/V Knorr 
# Cruise:  
# Region: Davis Strait 
# EXPOCODE:316N20091006 
# DATES: 20091006 - 2009XXYY 
# Chief Scientist: Craig Lee 
# 99 stations with 24 place Rosette 
# CTD: Who - B. Petrie; Status - final 
# 	Includes: CTDSAL, CTDOXY 
# 	Temperature data are IPTS-68  
# 	CTDSAL are pSS-78   
# SALNTY: Who - ; Status -  
# 	Notes: 	no data in file 
# Nutrients: Who - K.Azetsu-Scott; Status - final   
#  	Includes: ammonium 
# 	Data are noisy. QC difficult 
# OXYGEN: Who - ; Status - 
# 	Notes: no data in file 
# TCARBN: Who - K.Azetsu-Scott; Status - final 
# 	Notes: 	Data are noisy. QC difficult 
# ALKALI: Who - K.Azetsu-Scott; Status - final 
# 	Notes: Data are noisy. QC difficult 
# O-18: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# These data should be cited as: 
# References that have used data from this cruise: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELO18,DELO18_FLAG_W,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,,
  316N20091006, Davis,     3,  1, 358767,      1,2,20091007,1703, 67.3228, -53.9533,   30,     25.0,   3.7024,  32.8916,2,     2.53,2,     2.37,2,     0.20,2,     0.48,2,     1.86,2,   -999.0,9,   -999.0,9,  -999.00,9, 20091007,     1703
  316N20091006, Davis,     3,  1, 358768,      2,2,20091007,1703, 67.3228, -53.9533,   30,     13.3,   3.6985,  32.8908,2,     2.09,2,     1.98,2,     0.17,2,     0.45,2,     1.74,2,   -999.0,9,   -999.0,9,  -999.00,9, 20091007,     1703
  316N20091006, Davis,     3,  1, 358769,      3,2,20091007,1703, 67.3228, -53.9533,   30,      3.6,   3.6904,  32.8906,2,     3.12,2,     2.15,2,     0.18,2,     0.47,2,     1.92,2,   -999.0,9,   -999.0,9,  -999.00,9, 20091007,     1703
  316N20091006, Davis,     4,  1, 358770,      1,2,20091007,1928, 67.2703, -54.4864,   56,     49.9,   3.9592,  33.0358,2,     2.41,2,     1.88,2,     0.18,2,     0.47,2,     1.98,2,   2075.2,2,   2166.6,2,    -0.77,2, 20091007,     1928
  316N20091006, Davis,     4,  1, 358771,      2,2,20091007,1928, 67.2703, -54.4864,   56,     33.1,   3.8108,  33.0027,2,     2.45,2,     2.03,2,     0.19,2,     0.47,2,     1.89,2,   -999.0,9,   -999.0,9,  -999.00,9, 20091007,     1928
  316N20091006, Davis,     4,  1, 358772,      3,2,20091007,1928, 67.2703, -54.4864,   56,     23.4,   3.8357,  33.0025,2,     2.21,2,     1.76,2,     0.18,2,     0.45,2,     1.82,2,   2091.4,2,   2180.9,2,    -0.58,2, 20091007,     1928
  316N20091006, Davis,     4,  1, 358773,      4,2,20091007,1928, 67.2703, -54.4864,   56,     13.1,   3.7706,  32.9860,2,     2.51,2,     2.02,2,     0.19,2,     0.47,2,     1.89,2,   -999.0,9,   -999.0,9,  -999.00,9, 20091007,     1928
  316N20091006, Davis,     4,  1, 358774,      5,2,20091007,1928, 67.2703, -54.4864,   56,      3.2,   3.7491,  32.9832,2,     2.12,2,     1.74,2,     0.18,2,     0.44,2,     1.73,2,   2065.0,2,   2176.2,2,    -0.77,2, 20091007,     1928
  316N20091006, Davis,     6,  1, 358775,      1,2,20091008,0113, 67.1983, -55.3175,   77,     67.5,   3.8214,  33.2142,2,     3.31,2,     3.79,2,     0.23,2,     0.55,2,     2.03,2,   2085.6,2,   2177.1,2,    -0.66,2, 20091008,      113
  316N20091006, Davis,     6,  1, 358776,      2,2,20091008,0113, 67.1983, -55.3175,   77,     53.5,   3.8344,  33.2083,2,     3.32,2,     3.48,2,     0.24,2,     0.53,2,     2.02,2,   2084.1,2,   2184.6,2,     0.82,2, 20091008,      113
  316N20091006, Davis,     6,  1, 358777,      3,2,20091008,0113, 67.1983, -55.3175,   77,     33.5,   3.7332,  33.0883,2,     2.07,2,     2.43,2,     0.21,2,     0.43,2,     1.45,2,   -999.0,9,   -999.0,9,  -999.00,9, 20091008,      113
  316N20091006, Davis,     6,  1, 358778,      4,2,20091008,0113, 67.1983, -55.3175,   77,     23.6,   3.5062,  32.9878,2,     1.51,2,     1.85,2,     0.20,2,     0.37,2,     0.94,2,   2065.8,2,   2161.8,2,    -0.80,2, 20091008,      113
