EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEG C,/MILLE,,/MILLE,/MILLE,,DEG C
58JH1092_1, AR18, 933, 1, 3, 3, 2, 19920715, 0330, 64.0008, -4.9927, 3225,   2727.1,  -0.8900,  34.9119, 2,  34.9130, 2,    302.8, 2,    11.97, 2,    15.11, 2,     0.01, 2,     1.08, 2,   2159.4, 2,    321.1, 2,    -1.03,    -68.5, 2,      3.9,     1.16, 2,  -1.0333
58JH1092_1, AR18, 933, 1, 2, 2, 2, 19920715, 0330, 64.0008, -4.9927, 3225,   2974.9,  -0.8720,  34.9126, 2,  34.9130, 2,    317.6, 4,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,   -999.0, 9,   -999.0, 9,  -999.00,   -999.0, 9,   -999.0,  -999.00, 9,  -1.0349
58JH1092_1, AR18, 933, 1, 1, 1, 2, 19920715, 0330, 64.0008, -4.9927, 3225,   3175.0,  -0.8550,  34.9126, 2,  34.9130, 2,    302.4, 2,    12.28, 2,    15.11, 2,     0.02, 2,     1.11, 2,   2159.7, 2,    320.8, 2,    -1.03,    -64.8, 2,      4.4,     1.15, 2,  -1.0346
58JH1092_1, AR18, 933, 2, 24, 12, 2, 19920715, 0330, 64.0015, -4.9638, 703,      5.5,   7.5010,  34.7975, 2, -999.0000, 9,    305.9, 2,     0.32, 2,     1.42, 2,     0.07, 2,     0.25, 2,   2081.0, 2,    285.4, 2,     7.50,     49.2, 2,      4.1,     1.85, 2,   7.5005
58JH1092_1, AR18, 933, 2, 23, 11, 2, 19920715, 0330, 64.0015, -4.9638, 703,     19.6,   7.4400,  34.7945, 2, -999.0000, 9,    308.2, 2,     0.38, 2,     1.57, 2,     0.07, 2,     0.25, 2,   2084.4, 2,    283.7, 2,     7.44,   -999.0, 9,   -999.0,  -999.00, 9,   7.4381
58JH1092_1, AR18, 933, 2, 22, 10, 2, 19920715, 0330, 64.0015, -4.9638, 703,     50.2,   4.0650,  34.8200, 2, -999.0000, 9,    311.4, 2,     4.46, 2,     8.25, 2,     0.23, 2,     0.86, 2,   2138.7, 2,    329.7, 2,     4.06,   -999.0, 9,   -999.0,     1.21, 2,   4.0615
58JH1092_1, AR18, 933, 2, 21, 9, 2, 19920715, 0330, 64.0015, -4.9638, 703,     74.6,   3.0870,  34.9528, 2, -999.0000, 9,    311.4, 2,     5.57, 2,    11.11, 2,     0.42, 2,     0.95, 2,   2149.1, 2,    346.5, 2,     3.08,   -999.0, 9,   -999.0,  -999.00, 9,   3.0824
58JH1092_1, AR18, 933, 2, 20, 8, 2, 19920715, 0330, 64.0015, -4.9638, 703,    100.4,   2.9330,  34.9680, 2, -999.0000, 9,    313.1, 2,     5.54, 2,    12.26, 2,     0.49, 2,     0.92, 2,   2142.3, 2,    343.1, 2,     2.93,     47.9, 2,      4.2,     1.13, 2,   2.9269
58JH1092_1, AR18, 933, 2, 19, 7, 2, 19920715, 0330, 64.0015, -4.9638, 703,    148.3,   2.6780,  34.9713, 2, -999.0000, 9,    315.0, 2,     5.47, 2,    12.80, 2,     0.02, 2,     0.90, 2,   2142.0, 2,    336.6, 2,     2.67,   -999.0, 9,   -999.0,  -999.00, 9,   2.6692
58JH1092_1, AR18, 933, 2, 18, 6, 2, 19920715, 0330, 64.0015, -4.9638, 703,    200.4,   2.4350,  34.9667, 2, -999.0000, 9,    314.3, 2,     5.52, 2,    12.84, 2,     0.02, 2,     0.91, 2,   2144.6, 2,    336.5, 2,     2.42,   -999.0, 9,   -999.0,     1.10, 2,   2.4234
