EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  58AA19940826,   GNS,     1,  1,      9,2,19940827, 66.0030,   6.2870,  400,     10.4,  13.4554,  34.5697,2,  34.6700,0,    274.6,2,    279.6,2,     2.51,2,     4.54,2,     0.24,2,     0.57,2,   2078.6,2,   2346.7,2,   13.4539519
  58AA19940826,   GNS,     1,  1,      8,2,19940827, 66.0030,   6.2870,  400,     20.7,  10.8982,  34.8728,2,  34.8860,2,    289.5,2,    282.9,2,     3.25,2,     8.31,2,     0.18,2,     0.75,2,   2105.0,2,   2357.4,2,   10.8956868
  58AA19940826,   GNS,     1,  1,      7,2,19940827, 66.0030,   6.2870,  400,     30.3,   9.7625,  34.9858,2,  35.0150,2,    273.1,2,    271.5,2,     4.35,2,    11.28,2,     0.07,2,     0.86,2,   2121.9,2,   2365.8,2,   9.75906573
  58AA19940826,   GNS,     1,  1,      6,2,19940827, 66.0030,   6.2870,  400,     50.0,   8.7373,  35.1800,2,  35.1900,2,    267.0,2,    269.3,2,     5.28,2,    12.38,2,     0.08,2,     0.93,2,   2129.2,2,   2362.5,2,   8.73199382
  58AA19940826,   GNS,     1,  1,      5,2,19940827, 66.0030,   6.2870,  400,     77.7,   8.5281,  35.2453,2,  35.2460,2,    264.9,2,    267.9,2,     5.52,2,    12.69,2,     0.09,2,     0.96,2,   2130.7,2,   2356.5,2,   8.51995529
  58AA19940826,   GNS,     1,  1,      4,2,19940827, 66.0030,   6.2870,  400,     98.9,   8.4365,  35.2550,2,  35.2550,2,    265.7,2,    267.9,2,     1.59,4,     0.95,4,     0.07,2,     0.33,2,   2032.7,4,   2343.6,2,   8.42618603
  58AA19940826,   GNS,     1,  1,      3,2,19940827, 66.0030,   6.2870,  400,    196.3,   7.4026,  35.1738,2,  35.1750,2,    276.6,2,    278.3,2,     6.22,2,    13.16,2,     0.10,2,     0.99,2,   2133.8,2,   2353.4,3,   7.38355334
  58AA19940826,   GNS,     1,  1,      2,2,19940827, 66.0030,   6.2870,  400,    297.3,   6.8218,  35.1564,2,  35.1570,2,    285.7,2,   -999.0,9,     5.90,2,    12.56,2,     0.08,2,     0.96,2,   2132.6,2,   2349.1,3,   6.79406714
  58AA19940826,   GNS,     1,  1,      1,2,19940827, 66.0030,   6.2870,  400,    359.5,   6.4990,  35.1348,2,  35.1370,2,    288.2,2,    281.3,2,     6.27,2,    12.78,2,     0.08,2,     1.00,2,   2134.8,2,   -999.0,9,   6.46620479
  58AA19940826,   GNS,     3,  1,     12,2,19940828, 66.0020,   4.3120, 1304,      1.8,  13.3628,  34.7887,2,-999.0000,9,    267.8,2,    269.6,2,     1.29,2,     0.10,2,     0.08,2,     0.25,2,   2024.4,2,   2340.0,2,   13.3625501
