EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,CFC-11,CFC-11_FLAG_W,CCL4,CCL4_FLAG_W,MCHFRM,MCHFRM_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,DEGC
  58JH19911105,   GNS,    15,  1,      6,19911106, 62.4830,   4.9330,  200,     50.0,  10.1300,  33.4000,2,   -999.0,9,     2.25,2,     1.79,2,     0.18,2,     0.18,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.1243
  58JH19911105,   GNS,    15,  1,      5,19911106, 62.4830,   4.9330,  200,     75.0,  10.2000,  33.9000,2,   -999.0,9,     2.37,2,     2.60,2,     0.19,2,     0.27,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.1914
  58JH19911105,   GNS,    15,  1,      4,19911106, 62.4830,   4.9330,  200,    100.0,   9.3000,  34.7200,2,   -999.0,9,     3.15,2,     5.66,2,     0.04,2,  -999.00,9,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   9.2890
  58JH19911105,   GNS,    15,  1,      3,19911106, 62.4830,   4.9330,  200,    125.0,   8.2400,  34.9400,2,   -999.0,9,     4.91,2,     9.33,2,     0.03,2,     0.73,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   8.2272
  58JH19911105,   GNS,    15,  1,      2,19911106, 62.4830,   4.9330,  200,    150.0,   7.9900,  35.0800,2,   -999.0,9,     5.30,2,    10.69,2,     0.02,2,     0.73,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   7.9748
  58JH19911105,   GNS,    15,  1,      1,19911106, 62.4830,   4.9330,  200,    190.0,   7.8400,  35.1900,2,   -999.0,9,     5.73,2,    11.46,2,     0.01,2,     0.83,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,   7.8209
  58JH19911105,   GNS,    16,  1,      9,19911107, 62.6000,   4.6830,  185,      0.0,  10.4400,  32.9300,2,   -999.0,9,     2.19,2,     1.61,2,     0.16,2,  -999.00,9,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.4400
  58JH19911105,   GNS,    16,  1,      8,19911107, 62.6000,   4.6830,  185,     10.0,  10.4400,  32.9300,2,   -999.0,9,     2.16,2,     1.57,2,     0.15,2,     0.19,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.4388
  58JH19911105,   GNS,    16,  1,      7,19911107, 62.6000,   4.6830,  185,     30.0,  10.4400,  32.9300,2,   -999.0,9,     2.16,2,     1.52,2,     0.16,2,     0.18,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.4365
  58JH19911105,   GNS,    16,  1,      6,19911107, 62.6000,   4.6830,  185,     50.0,  10.4100,  32.9600,2,   -999.0,9,     2.19,2,     1.62,2,     0.22,2,     0.19,2,        -999,9, -999.000,9, -999.000,9,     -999,9, -999.000,9,-999.0000,9,  -999.00,9,  10.4042
