EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  74JC19960720,   GNS,     7,  1,     11,2,19960726,  15, 73.6200,  -3.1000, 3473,    300.5,  -0.1490,  34.8870,2,  34.8890,2,    270.0,3,     6.63,2,    15.51,2,     0.82,2,    4.211,   2,    1.927,   2,    0.338,   2,    5.549,   2,     -999,   9,   2154.2,2,   2280.0,2,  -0.1601
  74JC19960720,   GNS,     7,  1,     10,2,19960726,  15, 73.6200,  -3.1000, 3473,    399.8,  -0.3500,  34.8870,2,  34.8890,2,    269.6,3,     7.02,2,    15.80,2,     0.84,2,    4.096,   2,    1.862,   2,    0.313,   2,    5.443,   2,     -999,   9,   2156.6,2,   2281.0,2,  -0.3645
  74JC19960720,   GNS,     7,  1,      9,2,19960726,  15, 73.6200,  -3.1000, 3473,    500.8,  -0.5265,  34.8840,2,  34.8895,2,    271.7,3,     7.22,2,    16.10,2,     0.85,2,    4.151,   2,    1.882,   2,    0.332,   2,    5.513,   2,     -999,   9,   2156.3,2,   2280.0,2,  -0.5444
  74JC19960720,   GNS,     7,  1,      7,2,19960726,  15, 73.6200,  -3.1000, 3473,    748.6,  -0.8285,  34.8770,2,  34.8810,2,    278.3,3,     7.32,2,    16.00,2,     0.85,2,    4.580,   2,    2.084,   2,    0.341,   2,    5.864,   2,     -999,   9,   2158.1,2,   2280.0,2,  -0.8551
  74JC19960720,   GNS,     7,  1,      5,2,19960726,  15, 73.6200,  -3.1000, 3473,   1000.1,  -0.8450,  34.8790,2,  34.8860,2,    275.2,3,     7.61,2,    16.20,2,     0.85,2,    4.122,   2,    1.883,   2,    0.337,   2,    5.543,   2,     -999,   9,   2158.9,2,   2278.0,2,  -0.8827
  74JC19960720,   GNS,     7,  1,      4,2,19960726,  15, 73.6200,  -3.1000, 3473,   1250.0,  -0.7450,  34.8970,2,  34.9040,2,    259.6,3,     9.37,2,    17.07,2,     0.90,2,    1.802,   2,    0.827,   2,    0.107,   2,    3.300,   2,     -999,   9,   2158.2,2,   2279.0,2,  -0.7960
  74JC19960720,   GNS,     7,  1,      3,2,19960726,  15, 73.6200,  -3.1000, 3473,   1500.5,  -0.8300,  34.8990,2,  34.9070,2,    258.7,3,     9.95,2,    17.37,2,     0.92,2,    1.391,   2,    0.578,   2,    0.065,   2,    2.905,   2,     -999,   9,   2160.9,2,   2281.0,2,  -0.8935
  74JC19960720,   GNS,     7,  1,      2,2,19960726,  15, 73.6200,  -3.1000, 3473,   1750.2,  -0.8880,  34.9000,2,  34.9060,2,    261.3,3,    10.24,2,    17.56,2,     0.92,2,    1.101,   2,    0.511,   2,    0.058,   2,    2.568,   2,     -999,   9,   2158.4,2,   2280.0,2,  -0.9652
  74JC19960720,   GNS,     9,  1,     24,2,19960726,1419, 74.0500,  -6.4100, 3425,      0.0,   1.8560,  31.4940,2,  31.5080,2,    300.4,3,     0.78,2,     3.22,2,     0.24,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     -999,   9,   1926.8,2,   1899.0,3,   1.8560
  74JC19960720,   GNS,     9,  1,     23,2,19960726,1419, 74.0500,  -6.4100, 3425,      4.8,   1.4940,  32.0250,2,  32.1570,2,    315.2,3,     1.46,2,     2.93,2,     0.24,2, -999.000,   9, -999.000,   9, -999.000,   9, -999.000,   9,     1.58,   2,   1954.6,2,   1900.0,3,   1.4938
