BOTTLE,20180313PRINUNIVRMK
# Processed by CCHDO on 2021-05-17, no changes
# 03/12/2018 Initialized README file  
# Data source: J.Jackson 8/29/17  
# SHIP: R/V Knorr 
# Cruise:  
# Region: Davis Strait 
# EXPOCODE:316N20080901 
# DATES: 20080901 -  
# Chief Scientist: Craig Lee 
# 97 stations with 24 place Rosette 
# CTD: Who - B. Petrie; Status - final 
# 	Includes: CTDSAL, CTDOXY 
# 	Temperature data are IPTS-68  
# 	CTDSAL are pSS-78   
# SALNTY: Who - ; Status -  
# 	Notes: 	no data in file 
# Nutrients: Who - K.Azetsu-Scott; Status - final   
#  	Includes: ammonium 
# 	Nitrate and phosphate data very noisy 
# OXYGEN: Who - ; Status - 
# 	Notes: no data in file 
# TCARBN: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# ALKALI: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# O-18: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# These data should be cited as: 
# References that have used data from this cruise: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELO18,DELO18_FLAG_W,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,,
  316N20080901, Davis,     5,  1, 334016,      1,2,20080903,0904, 67.1608, -55.8210,  115,    111.2,   1.9684,  33.3739,2,   -999.0,9,     3.44,2,     4.96,3,     0.23,2,     0.61,2,     2.36,2,   2019.5,2,   2224.4,   2,    -0.66,2, 20080903,      904
  316N20080901, Davis,     5,  1, 334017,      2,2,20080903,0904, 67.1608, -55.8210,  115,     53.7,   2.2071,  33.3194,2,   -999.0,9,     3.23,2,     4.69,2,     0.21,2,     0.61,2,      2.2,2,   2064.3,2,   2200.6,   2,    -0.63,2, 20080903,      904
  316N20080901, Davis,     5,  1, 334018,      3,2,20080903,0904, 67.1608, -55.8210,  115,     33.6,   2.5463,  33.2449,2,   -999.0,9,     3.01,2,     4.19,2,     0.20,2,     0.56,2,     2.05,2,   -999.0,9,   -999.0,   9,    -0.71,2, 20080903,      904
  316N20080901, Davis,     5,  1, 334019,      4,2,20080903,0904, 67.1608, -55.8210,  115,     23.6,   2.6551,  33.1690,2,   -999.0,9,     2.58,2,     3.57,2,     0.19,2,     0.52,2,     2.05,2,   2073.6,2,   2347.2,   3,    -0.71,2, 20080903,      904
  316N20080901, Davis,     5,  1, 334020,      5,2,20080903,0904, 67.1608, -55.8210,  115,     13.7,   5.2073,  32.6871,2,   -999.0,9,     0.76,2,     0.69,2,     0.08,2,     0.25,2,     0.85,2,   -999.0,9,   -999.0,   9,    -0.95,2, 20080903,      904
  316N20080901, Davis,     5,  1, 334021,      6,2,20080903,0904, 67.1608, -55.8210,  115,      3.7,   4.9864,  32.4579,2,   -999.0,9,     0.55,2,     0.57,2,     0.09,2,     0.22,2,     0.53,2,   1974.2,2,   2129.4,   2,    -1.16,2, 20080903,      904
  316N20080901, Davis,     6,  1, 334022,      1,2,20080903,1143, 67.1052, -56.3063,  165,    158.6,   1.3810,  33.8684,2,   -999.0,9,     5.69,2,     9.77,2,     0.22,2,     0.83,2,     2.16,2,   2070.0,2,   2245.2,   2,    -0.37,2, 20080903,     1143
  316N20080901, Davis,     6,  1, 334023,      2,2,20080903,1143, 67.1052, -56.3063,  165,    103.7,   1.0898,  33.7140,2,   -999.0,9,     4.45,2,     7.42,2,     0.21,2,     0.75,2,     2.32,2,   2060.3,2,   2215.3,   2,    -0.44,2, 20080903,     1143
  316N20080901, Davis,     6,  1, 334024,      3,2,20080903,1143, 67.1052, -56.3063,  165,     53.8,   1.6218,  33.3361,2,   -999.0,9,     2.18,2,     3.81,2,     0.15,2,     0.55,2,     2.13,2,   2060.7,2,   2175.0,   2,    -0.66,2, 20080903,     1143
  316N20080901, Davis,     6,  1, 334025,      4,2,20080903,1143, 67.1052, -56.3063,  165,     33.9,   3.7615,  33.1130,2,   -999.0,9,     1.13,2,     1.26,2,     0.09,2,     0.36,2,      1.2,2,   -999.0,9,   -999.0,   9,    -0.75,2, 20080903,     1143
  316N20080901, Davis,     6,  1, 334026,      5,2,20080903,1143, 67.1052, -56.3063,  165,     24.1,   5.8107,  32.5879,2,   -999.0,9,     1.21,2,     0.09,2,     0.06,2,     0.36,2,     0.55,2,   1979.3,2,   2155.3,   2,    -1.03,2, 20080903,     1143
