EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,DEG C
58AA19950217, 75N, 1, 2, 7644, 2, 19950224, 0000, 74.9817, -9.5530, 3155,   3026.3,  -0.9770,  34.9060, 2, -999.0000, 9,    304.6, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,    0.780, 2,    0.660, 2,    0.000, 2,   2139.3, 2,   -999.0, 9, -999.0000, 9,   -999.00,  -1.1416
58AA19950217, 75N, 4, 1, 7645, 2, 19950225, 0000, 75.0000, -9.0150, 3040,      5.2,  -0.1620,  34.8990, 2,  34.9000, 2,    326.0, 2,     6.80, 2,    11.00, 2,     0.07, 2,     0.82, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2156.8, 2,   -999.0, 9, -999.0000, 9,   -999.00,  -0.1622
58AA19950217, 75N, 4, 1, 7646, 2, 19950225, 0000, 75.0000, -9.0150, 3040,     10.3,  -0.1640,  34.8990, 2,  34.8990, 2,    327.7, 2,     6.80, 2,    11.00, 2,     0.07, 2,     0.82, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2135.5, 2,   -999.0, 9, -999.0000, 9,   -999.00,  -0.1644
58AA19950217, 75N, 4, 1, 7647, 2, 19950225, 0000, 75.0000, -9.0150, 3040,     19.2,  -0.1560,  34.8990, 2,  34.8990, 2,    326.0, 2,     6.80, 2,    11.10, 2,     0.07, 2,     0.82, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2150.4, 2,   -999.0, 9, -999.0000, 9,   -999.00,  -0.1567
58AA19950217, 75N, 4, 1, 7648, 2, 19950225, 0000, 75.0000, -9.0150, 3040,     29.5,  -0.1510,  34.8990, 2,  34.8980, 2,    325.5, 2,     6.80, 2,    11.70, 2,     0.07, 2,     0.84, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2139.0, 2,   -999.0, 9, -999.0000, 9,   -999.00,  -0.1520
58AA19950217, 75N, 4, 1, 7649, 2, 19950225, 0000, 75.0000, -9.0150, 3040,     50.2,  -0.1480,  34.8990, 2,  34.8990, 2,    326.4, 2,     6.80, 2,    11.40, 2,     0.07, 2,     0.81, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2141.3, 2,   -999.0, 9, -999.0000, 9,   -999.00,  -0.1497
58AA19950217, 75N, 4, 1, 7650, 2, 19950225, 0000, 75.0000, -9.0150, 3040,     71.9,  -0.1460,  34.8990, 2,  34.8990, 2,    324.2, 2,     6.80, 2,    11.30, 2,     0.08, 2,     0.80, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2146.7, 2,   -999.0, 9, -999.0000, 9,   -999.00,  -0.1485
58AA19950217, 75N, 4, 1, 7651, 2, 19950225, 0000, 75.0000, -9.0150, 3040,     97.8,  -0.1470,  34.8990, 2,  34.8990, 2,    324.6, 2,     6.80, 2,    11.20, 2,     0.07, 2,     0.82, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2145.4, 2,   -999.0, 9, -999.0000, 9,   -999.00,  -0.1504
58AA19950217, 75N, 4, 1, 7652, 2, 19950225, 0000, 75.0000, -9.0150, 3040,    149.6,  -0.2240,  34.8970, 2,  34.8970, 2,    326.8, 2,     6.80, 2,    11.60, 2,     0.07, 2,     0.84, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2151.0, 2,   -999.0, 9, -999.0000, 9,   -999.00,  -0.2293
58AA19950217, 75N, 4, 1, 7653, 2, 19950225, 0000, 75.0000, -9.0150, 3040,    199.6,  -0.2300,  34.8970, 2,  34.8960, 2,    326.0, 2,     6.80, 2,    11.20, 2,     0.07, 2,     0.82, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2145.9, 2,   -999.0, 9, -999.0000, 9,   -999.00,  -0.2371
58AA19950217, 75N, 4, 1, 7654, 2, 19950225, 0000, 75.0000, -9.0150, 3040,    297.4,  -0.2560,  34.8970, 2,  34.8970, 2,    322.0, 2,     6.80, 2,    11.10, 2,     0.07, 2,     0.83, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2151.6, 2,   -999.0, 9, -999.0000, 9,   -999.00,  -0.2668
58AA19950217, 75N, 4, 1, 7655, 2, 19950225, 0000, 75.0000, -9.0150, 3040,    397.9,  -0.4390,  34.8900, 2,  34.8910, 2,    322.5, 2,     7.10, 2,    11.70, 2,     0.07, 2,     0.84, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2148.2, 2,   -999.0, 9, -999.0000, 9,   -999.00,  -0.4531
58AA19950217, 75N, 4, 1, 7656, 2, 19950225, 0000, 75.0000, -9.0150, 3040,    496.9,  -0.5890,  34.8880, 2,  34.8870, 2,    326.0, 2,     7.00, 2,    11.50, 2,     0.07, 2,     0.85, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2157.1, 2,   -999.0, 9, -999.0000, 9,   -999.00,  -0.6065
58AA19950217, 75N, 5, 1, 7657, 2, 19950225, 0000, 75.0000, -7.9970, 3342,     49.6,  -0.5250,  34.8870, 2,  34.8880, 2,    331.2, 2,     6.80, 2,    11.50, 2,     0.07, 2,     0.87, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2134.4, 2,   2278.0, 2,    7.7035, 2,     25.00,  -0.5266
58AA19950217, 75N, 5, 1, 7658, 2, 19950225, 0000, 75.0000, -7.9970, 3342,    104.6,  -0.5190,  34.8880, 2,  34.8880, 2,    329.4, 2,     6.90, 2,    11.60, 2,     0.08, 2,     0.94, 2,    5.070, 2,    2.390, 2,    0.400, 2,   2136.6, 2,   2267.0, 2,    7.6987, 2,     25.00,  -0.5224
58AA19950217, 75N, 5, 1, 7659, 2, 19950225, 0000, 75.0000, -7.9970, 3342,    403.2,  -0.7240,  34.8830, 2,  34.8840, 2,    319.4, 2,     7.80, 2,    12.00, 2,     0.07, 2,     0.89, 3, -999.000, 9, -999.000, 9, -999.000, 9,   2140.0, 2,   2260.0, 2,    7.6910, 2,     25.00,  -0.7374
58AA19950217, 75N, 5, 1, 7660, 2, 19950225, 0000, 75.0000, -7.9970, 3342,    798.6,  -0.7610,  34.8950, 2,  34.8950, 2,    306.8, 2,     8.90, 2,    12.60, 2,     0.07, 2,     0.96, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2144.0, 2,   2271.0, 2,    7.6861, 2,     25.00,  -0.7902
58AA19950217, 75N, 5, 1, 7661, 2, 19950225, 0000, 75.0000, -7.9970, 3342,   1002.2,  -0.7330,  34.9080, 2,  34.9080, 2,    300.3, 2,    10.00, 2,    13.20, 2,     0.07, 2,     0.95, 2, -999.000, 9, -999.000, 9, -999.000, 9,   2145.1, 2,   2276.0, 2,    7.6823, 2,     25.00,  -0.7717
