EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C
  90JS20080815,ISSS08,     3,  1,      5,2,20080819,   0, 73.4920,  79.8850,   47,     37.1,  -1.1000,  32.7000,2,-999.0000,9,    256.8,2,    14.40,2,     5.50,2,     0.31,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2259.0,2,   2243.1,2,   7.5600,2,    15.00
  90JS20080815,ISSS08,     3,  1,      4,2,20080819,   0, 73.4920,  79.8850,   47,     20.8,  -0.9000,  31.7000,2,-999.0000,9,    333.7,2,     4.60,2,     1.90,2,     0.31,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2118.5,2,   2209.9,2,   7.7300,2,    15.00
  90JS20080815,ISSS08,     3,  1,      3,2,20080819,   0, 73.4920,  79.8850,   47,     15.2,   1.2000,  30.3000,2,-999.0000,9,    358.8,2,     3.10,2,     0.40,2,     0.11,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2024.5,2,   2155.6,2,   7.8600,2,    15.00
  90JS20080815,ISSS08,     3,  1,      2,2,20080819,   0, 73.4920,  79.8850,   47,     10.4,   5.9000,  15.6000,2,-999.0000,9,   -999.0,9,    37.40,2,     0.40,2,     0.01,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   1281.9,2,   1316.9,2,   7.5700,2,    15.00
  90JS20080815,ISSS08,     3,  1,      1,2,20080819,   0, 73.4920,  79.8850,   47,      3.3,  10.2000,   5.4000,2,-999.0000,9,   -999.0,9,    50.20,2,     0.30,2,     0.03,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,    853.3,2,    890.2,2,   7.6700,2,    15.00
  90JS20080815,ISSS08,     4,  1,      7,2,20080823,   0, 75.9870, 129.9840,   74,     49.5,  -1.5000,  33.2000,2,-999.0000,9,    287.9,2,     9.80,2,     6.80,2,     0.47,2,     -999,9,    7.890,2,    4.150,2,    0.450,2,    5.530,2,   2193.9,2,   2243.3,2,   7.6500,2,    15.00
  90JS20080815,ISSS08,     4,  1,      6,2,20080823,   0, 75.9870, 129.9840,   74,     46.0,  -1.5000,  33.2000,2,-999.0000,9,    287.5,2,     9.50,2,     6.70,2,     0.45,2,     -999,9,    7.970,2,    3.700,2,    0.450,2,    5.610,2,   2188.0,2,   2249.9,2,   7.6600,2,    15.00
  90JS20080815,ISSS08,     4,  1,      5,2,20080823,   0, 75.9870, 129.9840,   74,     30.3,  -1.6000,  32.5000,2,-999.0000,9,    337.2,2,     5.30,2,     3.90,2,     0.34,2,     -999,9,    8.160,2,    3.900,2,    0.500,2,    6.790,2,   2138.1,2,   2232.6,2,   7.7300,2,    15.00
  90JS20080815,ISSS08,     4,  1,      4,2,20080823,   0, 75.9870, 129.9840,   74,     20.9,  -1.6000,  32.2000,2,-999.0000,9,    333.1,2,     6.50,2,     3.20,2,     0.35,2,     -999,9,    8.310,2,    3.970,2,    0.520,2,    7.110,2,   2146.0,2,   2219.6,2,   7.7000,2,    15.00
  90JS20080815,ISSS08,     4,  1,      3,2,20080823,   0, 75.9870, 129.9840,   74,     15.5,  -1.5000,  31.9000,2,-999.0000,9,    352.5,2,     4.30,2,     1.20,2,     0.29,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2107.4,2,   2199.8,2,   7.7500,2,    15.00
