EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
58AA19961121, 75N, 4, 1, 8115, 2, 19961121, 0000, 74.9983, 2.9833, 2824,    526.2,  -0.6416,  34.8790, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.6600
58AA19961121, 75N, 4, 1, 8116, 2, 19961121, 0000, 74.9983, 2.9833, 2824,    552.6,  -0.6692,  34.8787, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.6885
58AA19961121, 75N, 4, 1, 8117, 2, 19961121, 0000, 74.9983, 2.9833, 2824,    576.7,  -0.7008,  34.8792, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.7210
58AA19961121, 75N, 4, 1, 8118, 2, 19961121, 0000, 74.9983, 2.9833, 2824,    603.3,  -0.7041,  34.8794, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.7253
58AA19961121, 75N, 4, 1, 8119, 2, 19961121, 0000, 74.9983, 2.9833, 2824,    625.6,  -0.7403,  34.8791, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.7622
58AA19961121, 75N, 4, 1, 8120, 2, 19961121, 0000, 74.9983, 2.9833, 2824,    651.8,  -0.7691,  34.8788, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.7920
58AA19961121, 75N, 4, 1, 8121, 2, 19961121, 0000, 74.9983, 2.9833, 2824,    701.2,  -0.8014,  34.8787, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.8261
58AA19961121, 75N, 4, 1, 8122, 2, 19961121, 0000, 74.9983, 2.9833, 2824,    997.7,  -0.8809,  34.8808, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.9182
58AA19961121, 75N, 5, 1, 8123, 2, 19961121, 0000, 75.0028, 0.9867, 3642,    400.8,  -0.6192,  34.8792, 2,    326.4, 2,     5.40, 2,    10.38, 2,  -999.00, 9,     0.66, 2, -999.000, 9, -999.000, 9,   2154.0, 2,   2281.2, 3,  -0.6328
58AA19961121, 75N, 5, 1, 8124, 2, 19961121, 0000, 75.0028, 0.9867, 3642,    427.1,  -0.6453,  34.8795, 2,    325.4, 2,     5.13, 2,    10.39, 2,  -999.00, 9,     0.54, 2,    4.160, 2,    1.980, 2,   2153.7, 2,   2280.9, 3,  -0.6598
58AA19961121, 75N, 5, 1, 8125, 2, 19961121, 0000, 75.0028, 0.9867, 3642,    449.5,  -0.6657,  34.8797, 2,    326.4, 2,     3.90, 2,     9.08, 2,  -999.00, 9,     0.53, 2, -999.000, 9, -999.000, 9,   2155.7, 2,   2280.7, 3,  -0.6810
58AA19961121, 75N, 5, 1, 8126, 2, 19961121, 0000, 75.0028, 0.9867, 3642,    467.9,  -0.6872,  34.8792, 2,    332.3, 3,     4.66, 2,    10.36, 2,  -999.00, 9,     0.56, 2,    4.070, 2,    2.040, 2,   2155.5, 2,   2276.2, 3,  -0.7031
58AA19961121, 75N, 5, 1, 8127, 2, 19961121, 0000, 75.0028, 0.9867, 3642,    494.7,  -0.7328,  34.8786, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.7496
58AA19961121, 75N, 5, 1, 8128, 2, 19961121, 0000, 75.0028, 0.9867, 3642,    516.6,  -0.7504,  34.8783, 2,    326.8, 2,     5.40, 2,    10.45, 2,  -999.00, 9,     0.64, 2,    3.480, 2,    1.790, 2,   2156.7, 2,   -999.0, 9,  -0.7680
58AA19961121, 75N, 5, 1, 8129, 2, 19961121, 0000, 75.0028, 0.9867, 3642,    544.3,  -0.7781,  34.8784, 2,    326.4, 2,     3.77, 2,     8.95, 2,  -999.00, 9,     0.49, 2, -999.000, 9, -999.000, 9,   2155.6, 2,   2279.9, 3,  -0.7966
58AA19961121, 75N, 5, 1, 8130, 2, 19961121, 0000, 75.0028, 0.9867, 3642,    573.9,  -0.7809,  34.8793, 2,    325.9, 2,     2.98, 2,     7.90, 2,  -999.00, 9,     0.45, 2,    3.830, 2, -999.000, 9,   2154.5, 2,   2279.6, 3,  -0.8006
58AA19961121, 75N, 5, 1, 8131, 2, 19961121, 0000, 75.0028, 0.9867, 3642,    603.9,  -0.8058,  34.8787, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.8265
58AA19961121, 75N, 5, 1, 8132, 2, 19961121, 0000, 75.0028, 0.9867, 3642,    632.7,  -0.8266,  34.8784, 2,    327.3, 2,     5.41, 2,    10.49, 2,  -999.00, 9,     0.62, 2,    3.420, 2,    1.800, 2,   2155.2, 2,   2277.4, 3,  -0.8484
58AA19961121, 75N, 5, 1, 8133, 2, 19961121, 0000, 75.0028, 0.9867, 3642,   2011.2,  -0.9146,  34.9028, 2,    308.6, 2,     6.44, 2,    10.51, 2,  -999.00, 9,     0.69, 2,    1.120, 2,    0.620, 2,   2155.0, 2,   -999.0, 9,  -1.0075
58AA19961121, 75N, 5, 1, 8134, 2, 19961121, 0000, 75.0028, 0.9867, 3642,   3633.0,  -0.9561,  34.8958, 2,    311.4, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,    0.430, 2,    0.350, 2,   2155.5, 2,   -999.0, 9,  -1.1724
58AA19961121, 75N, 6, 1, 8135, 2, 19961122, 0000, 74.9933, -1.0080, 3596,     32.0,  -1.0979,  34.4958, 2,    353.6, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -1.0987
58AA19961121, 75N, 6, 1, 8136, 2, 19961122, 0000, 74.9933, -1.0080, 3596,    157.4,  -0.0670,  34.8889, 2,    323.2, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.0727
58AA19961121, 75N, 6, 1, 8137, 2, 19961122, 0000, 74.9933, -1.0080, 3596,    201.2,  -0.2157,  34.8909, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.2229
58AA19961121, 75N, 6, 1, 8138, 2, 19961122, 0000, 74.9933, -1.0080, 3596,    250.5,  -0.3913,  34.8900, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.4000
58AA19961121, 75N, 6, 1, 8139, 2, 19961122, 0000, 74.9933, -1.0080, 3596,    306.8,  -0.4987,  34.8886, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.5092
58AA19961121, 75N, 6, 1, 8140, 2, 19961122, 0000, 74.9933, -1.0080, 3596,    331.4,  -0.5609,  34.8868, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.5721
58AA19961121, 75N, 6, 1, 8141, 2, 19961122, 0000, 74.9933, -1.0080, 3596,    352.9,  -0.5998,  34.8851, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.6117
58AA19961121, 75N, 6, 1, 8142, 2, 19961122, 0000, 74.9933, -1.0080, 3596,    380.6,  -0.6233,  34.8844, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.6362
58AA19961121, 75N, 6, 1, 8143, 2, 19961122, 0000, 74.9933, -1.0080, 3596,    407.6,  -0.6920,  34.8824, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.7056
58AA19961121, 75N, 6, 1, 8144, 2, 19961122, 0000, 74.9933, -1.0080, 3596,    456.2,  -0.7169,  34.8819, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.7323
58AA19961121, 75N, 6, 1, 8145, 2, 19961122, 0000, 74.9933, -1.0080, 3596,    506.4,  -0.7649,  34.8812, 2,    330.0, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.7820
58AA19961121, 75N, 6, 1, 8146, 2, 19961122, 0000, 74.9933, -1.0080, 3596,   1007.1,  -0.8950,  34.8796, 2,    330.4, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.9326
58AA19961121, 75N, 7, 1, 8147, 2, 19961122, 0000, 74.9978, -1.0280, 3596,    249.1,  -0.4446,  34.8893, 2,    327.7, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,    4.690, 2,    2.380, 2,   2153.4, 9,   -999.0, 9,  -0.4531
58AA19961121, 75N, 7, 1, 8148, 2, 19961122, 0000, 74.9978, -1.0280, 3596,    275.6,  -0.4750,  34.8891, 2,    326.8, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.4844
58AA19961121, 75N, 7, 1, 8149, 2, 19961122, 0000, 74.9978, -1.0280, 3596,    302.6,  -0.5117,  34.8883, 2,    327.7, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,    4.310, 2,    2.150, 2,   2154.0, 2,   -999.0, 9,  -0.5220
58AA19961121, 75N, 7, 1, 8150, 2, 19961122, 0000, 74.9978, -1.0280, 3596,    322.4,  -0.5417,  34.8871, 2,    327.3, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.5526
58AA19961121, 75N, 7, 1, 8151, 2, 19961122, 0000, 74.9978, -1.0280, 3596,    341.7,  -0.5531,  34.8867, 2,    327.3, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   2154.0, 9,   -999.0, 9,  -0.5647
58AA19961121, 75N, 7, 1, 8152, 2, 19961122, 0000, 74.9978, -1.0280, 3596,    361.3,  -0.6267,  34.8832, 2,    329.1, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,    4.930, 4,    2.420, 4,   -999.0, 2,   -999.0, 9,  -0.6388
58AA19961121, 75N, 7, 1, 8153, 2, 19961122, 0000, 74.9978, -1.0280, 3596,    379.9,  -0.6653,  34.8820, 2,    330.4, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 2,   -999.0, 9,  -0.6780
58AA19961121, 75N, 7, 1, 8154, 2, 19961122, 0000, 74.9978, -1.0280, 3596,    402.8,  -0.6684,  34.8825, 2,    328.6, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   2155.0, 9,   -999.0, 9,  -0.6819
58AA19961121, 75N, 7, 1, 8155, 2, 19961122, 0000, 74.9978, -1.0280, 3596,    422.5,  -0.6854,  34.8826, 2,    329.1, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,    4.750, 2,    2.250, 2,   -999.0, 9,   -999.0, 9,  -0.6996
58AA19961121, 75N, 7, 1, 8156, 2, 19961122, 0000, 74.9978, -1.0280, 3596,    444.6,  -0.7155,  34.8818, 2,    329.6, 2,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   2154.7, 2,   -999.0, 9,  -0.7304
58AA19961121, 75N, 7, 1, 8157, 2, 19961122, 0000, 74.9978, -1.0280, 3596,    465.4,  -0.7467,  34.8811, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,  -0.7623
58AA19961121, 75N, 7, 1, 8158, 2, 19961122, 0000, 74.9978, -1.0280, 3596,    484.3,  -0.7548,  34.8808, 2,    329.1, 2,     5.83, 2,    10.26, 2,  -999.00, 9,     0.75, 2,    4.870, 2,    2.410, 2,   -999.0, 2,   -999.0, 9,  -0.7711
58AA19961121, 75N, 7, 1, 8159, 2, 19961122, 0000, 74.9978, -1.0280, 3596,    503.6,  -0.7631,  34.8809, 2,    330.4, 2,     4.36, 9,    10.16, 9,  -999.00, 9,     0.55, 9,    4.740, 9,    2.200, 9,   2154.3, 9,   -999.0, 9,  -0.7801
58AA19961121, 75N, 7, 1, 8160, 2, 19961122, 0000, 74.9978, -1.0280, 3596,    531.2,  -0.7789,  34.8804, 2,   -999.0, 9,  -999.00, 2,  -999.00, 2,  -999.00, 9,  -999.00, 2, -999.000, 3, -999.000, 3,   -999.0, 9,   -999.0, 9,  -0.7969
58AA19961121, 75N, 7, 1, 8161, 2, 19961122, 0000, 74.9978, -1.0280, 3596,    552.4,  -0.7876,  34.8805, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9,   -999.0, 2,   -999.0, 9,  -0.8064
58AA19961121, 75N, 8, 1, 8162, 2, 19961122, 0000, 75.0000, -2.0000, 3524,      8.8,  -1.0494,  34.5404, 2,    354.1, 2,     2.54, 2,     8.42, 2,  -999.00, 9,     0.49, 2,    7.650, 2,    3.290, 2,   2129.2, 2,   2266.5, 3,  -1.0496
58AA19961121, 75N, 8, 1, 8163, 2, 19961122, 0000, 75.0000, -2.0000, 3524,     28.2,  -1.0400,  34.5401, 2,    353.6, 2,     2.48, 2,     7.74, 2,  -999.00, 9,     0.50, 2, -999.000, 9,    3.610, 2,   2127.3, 2,   2264.5, 3,  -1.0407
58AA19961121, 75N, 8, 1, 8164, 2, 19961122, 0000, 75.0000, -2.0000, 3524,     53.7,  -1.0395,  34.5408, 2,   -999.0, 9,     1.91, 2,     6.87, 2,  -999.00, 9,     0.45, 2,    7.450, 2,    3.180, 2,   2127.7, 2,   2265.4, 3,  -1.0409
58AA19961121, 75N, 8, 1, 8165, 2, 19961122, 0000, 75.0000, -2.0000, 3524,     81.2,  -0.5459,  34.7465, 2,    354.6, 2,     1.98, 2,     6.61, 2,  -999.00, 9,     0.36, 2,    8.260, 2,    2.890, 2,   2147.8, 2,   2274.9, 3,  -0.5485
58AA19961121, 75N, 8, 1, 8166, 2, 19961122, 0000, 75.0000, -2.0000, 3524,    105.6,  -0.2495,  34.8421, 2,    345.9, 2,     1.72, 2,     6.77, 2,  -999.00, 9,     0.44, 2,    5.380, 2,    2.510, 2,   2150.0, 2,   2278.2, 3,  -0.2531
58AA19961121, 75N, 8, 1, 8167, 2, 19961122, 0000, 75.0000, -2.0000, 3524,    130.1,  -0.2387,  34.8576, 2,    317.7, 2,     1.37, 2,     6.08, 2,  -999.00, 9,     0.41, 2,    5.060, 3,    2.440, 3,   2151.5, 2,   2279.7, 3,  -0.2432
