BOTTLE,20090112PRINUNIVRMKPRINUNIVRMK
# 10/15/2007 Initialized README  
# Data from L. Anderson 1/16/07 
# Ship: A. Fedorov 
# Cruise: TUNDRA-94 Russian-Swedish expedition (SWEDARCTIC) 
# Dates: 7/5-8/8/1994 
# EXPOCODE: 90AQ19940706 
# Location: Arctic Russian Coast with river sampling 
# Ch.Sci. unknown? 
# Station translation: 
# Stations numbered 777 (underway samples) were renumbered consecutively starting from 101 
# Riverine stations which were named by River were changed to numbers as given below: 
# Original Name		Assigned Number 
# Olenek			201 
# New Siberian Island	202 
# Indigirka		203 
# Kolyma			204 
# Mountain River		205 
# Wrangel Island		206 
# Wrangel Island		207 
# Wrangel Island		208 
# New Siberian Island	209 
# Yana River		210 
# Lena River delta	211 
# Hydro: Who - unknown; Status - final 
# 	Notes: Original sample ID numbers preserved as "Sample" cast and bottle numbers fabricated 
# Nuts/O2: Who - unknown; Status - final 
# 	A few stations had data entry errors (0 umol/kg). Changed to missing 
# TCO2: Who - L.Anderson; Status - final 
# 	Notes: See Olsson and Anderson, 1997. 
# TA: Who - L.Anderson; Status - final 
# 	Notes:  
# Other: TOC umol/L, L. Anderson 
# References: 
# Olsson, K.and L.G. Anderson, Input and biogeochemical transformation of dissolved carbon in the Siberian shelf seas, Continental Shelf Res., 17(7), 819-833, 1997. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,TOC,TOC_FLAG_W,ID,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/L,,,DEGC
  90AQ19940706,Arctic,     3,  1,      3,2,19940710, 75.9600, 143.3100,   10,     10.1,  -0.4100,  30.4120,2,    368.0,2,    11.10,2,   2141.3,2,   2212.3,2,      128,2,     6323,  -0.4102
  90AQ19940706,Arctic,     3,  1,      2,2,19940710, 75.9600, 143.3100,   10,      5.0,  -0.3500,  29.3060,2,    370.1,2,     7.80,2,   2073.1,2,   2137.0,2,      162,2,     6324,  -0.3501
  90AQ19940706,Arctic,     3,  1,      1,2,19940710, 75.9600, 143.3100,   10,      1.0,   0.3100,  28.8840,2,    369.7,2,     7.80,2,   2036.8,2,   2111.1,2,      174,2,     2325,   0.3100
  90AQ19940706,Arctic,   107,  1,      1,2,19940710, 75.7733, 146.2700,   18,      3.0,-999.0000,  20.2140,2,   -999.0,9,     9.00,2,   -999.0,9,   1511.5,2,      122,2,     6326,-999.0000
  90AQ19940706,Arctic,     4,  1,      5,2,19940711, 75.6333, 147.3667,   13,     18.1,  -0.4800,  30.5620,2,    368.5,2,    11.70,2,   2167.6,2,   2250.1,2,      166,2,     6327,  -0.4804
  90AQ19940706,Arctic,     4,  1,      4,2,19940711, 75.6333, 147.3667,   13,     15.1,  -0.4600,  30.5150,2,    369.5,2,    11.70,2,   2160.0,2,   2245.3,2,      163,2,     6328,  -0.4604
  90AQ19940706,Arctic,     4,  1,      3,2,19940711, 75.6333, 147.3667,   13,     10.1,  -0.4000,  30.0880,2,    374.7,2,    12.00,2,   2120.1,2,   2216.7,2,      166,2,     6329,  -0.4002
  90AQ19940706,Arctic,     4,  1,      2,2,19940711, 75.6333, 147.3667,   13,      5.0,  -0.3400,  28.0310,2,    362.1,2,    13.20,2,   1983.5,2,   2075.1,2,       87,2,     6330,  -0.3401
  90AQ19940706,Arctic,     4,  1,      1,2,19940711, 75.6333, 147.3667,   13,      1.0,   0.3200,  27.1920,2,    358.6,2,    13.30,2,   1931.5,2,   2010.3,2,      118,2,     6331,   0.3200
  90AQ19940706,Arctic,   108,  1,      1,2,19940710, 75.7567, 148.7750,   10,      3.0,  -1.0000,  28.4350,2,   -999.0,9,    15.90,2,   -999.0,9,   2098.4,2,      184,2,     6332,  -1.0000
  90AQ19940706,Arctic,   109,  1,      1,2,19940711, 75.6183, 153.2733,   10,      3.0,  -1.0000,  20.9960,2,   -999.0,9,    23.10,2,   -999.0,9,   1622.0,2,      160,2,     6333,  -1.0000
  90AQ19940706,Arctic,   110,  1,      1,2,19940712, 75.3717, 154.4917,    5,      3.0,  -1.0000,  22.2840,2,   -999.0,9,    27.10,2,   -999.0,9,   1737.3,2,      156,2,     6334,  -1.0000
  90AQ19940706,Arctic,   111,  1,      1,2,19940712, 74.8517, 155.5250,   14,      3.0,  -1.0000,  21.8450,2,   -999.0,9,    27.10,2,   -999.0,9,   1706.4,2,     -999,9,     6335,  -1.0000
  90AQ19940706,Arctic,   112,  1,      1,2,19940712, 74.4633, 155.2750,   17,      3.0,  -1.0000,  22.2960,2,   -999.0,9,    24.00,2,   -999.0,9,   1725.5,2,     -999,9,     6336,  -1.0000
  90AQ19940706,Arctic,   113,  1,      1,2,19940712, 74.0383, 155.3967,   17,      3.0,  -1.0000,  15.2800,2,   -999.0,9,    16.80,2,   -999.0,9,   1175.0,2,     -999,9,     6337,  -1.0000
  90AQ19940706,Arctic,   114,  1,      1,2,19940712, 73.9817, 154.5600,   20,      3.0,  -1.0000,  22.9920,2,   -999.0,9,    25.50,2,   -999.0,9,   1788.6,2,     -999,9,     6338,  -1.0000
  90AQ19940706,Arctic,   115,  1,      1,2,19940713, 73.6083, 153.9633,   18,      3.0,  -1.0000,  21.3030,2,   -999.0,9,    23.30,2,   -999.0,9,   1648.3,2,     -999,9,     6339,  -1.0000
  90AQ19940706,Arctic,   116,  1,      1,2,19940713, 73.3800, 153.7450,   23,      3.0,  -1.0000,  16.9850,2,   -999.0,9,    15.20,2,   -999.0,9,   1274.1,2,     -999,9,     6340,  -1.0000
  90AQ19940706,Arctic,   117,  1,      1,2,19940713, 73.2533, 153.4717,   20,      3.0,  -1.0000,  19.8760,2,   -999.0,9,    21.30,2,   -999.0,9,   1588.7,2,     -999,9,     6341,  -1.0000
  90AQ19940706,Arctic,   118,  1,      1,2,19940713, 72.7533, 152.7833,   17,      3.0,  -1.0000,  22.2130,2,   -999.0,9,    20.00,2,   -999.0,9,   1693.6,2,     -999,9,     6342,  -1.0000
  90AQ19940706,Arctic,     5,  1,      5,2,19940714, 72.7433, 152.7783,   17,     18.1,  -0.8900,  30.4670,2,    159.6,2,    54.00,2,   2130.5,2,   2126.3,2,      127,2,     6343,  -0.8904
  90AQ19940706,Arctic,     5,  1,      4,2,19940714, 72.7433, 152.7783,   17,     15.1,  -0.8700,  23.4950,2,    367.6,2,    30.30,2,   1836.1,2,   1848.7,2,      194,2,     6344,  -0.8701
  90AQ19940706,Arctic,     5,  1,      3,2,19940714, 72.7433, 152.7783,   17,     10.1,  -0.8100,  22.6350,2,    418.1,2,    23.20,2,   1765.5,2,   1800.9,2,      240,2,     6345,  -0.8101
  90AQ19940706,Arctic,     5,  1,      2,2,19940714, 72.7433, 152.7783,   17,      5.0,  -0.5200,  21.2450,2,    416.6,2,    24.90,2,   1663.1,2,   1709.2,2,      184,2,     6346,  -0.5200
  90AQ19940706,Arctic,     5,  1,      1,2,19940714, 72.7433, 152.7783,   17,      1.0,  -0.3400,  12.2720,2,    428.4,2,    13.50,2,    955.6,2,    991.4,2,       66,2,     6347,  -0.3400
  90AQ19940706,Arctic,   119,  1,      1,2,19940714, 72.5650, 152.9767,   17,      3.0,  -1.0000,  18.0670,2,   -999.0,9,    19.00,2,   -999.0,9,   1383.7,2,      125,2,     6348,  -1.0000
  90AQ19940706,Arctic,   120,  1,      1,2,19940715, 72.2967, 152.2767,   15,      3.0,  -1.0000,  19.3880,2,   -999.0,9,    22.80,2,   -999.0,9,   1582.4,2,      119,2,     6349,  -1.0000
  90AQ19940706,Arctic,     6,  1,      4,2,19940715, 72.2967, 152.2817,   15,     14.1,  -0.8500,  24.8110,2,    288.6,2,    38.40,2,   1930.0,2,   1883.1,2,      164,2,     6350,  -0.8501
  90AQ19940706,Arctic,     6,  1,      3,2,19940715, 72.2967, 152.2817,   15,     10.1,  -0.9700,  21.0710,2,    451.0,2,    24.10,2,   1691.6,2,   1717.5,2,      235,2,     6351,  -0.9700
  90AQ19940706,Arctic,     6,  1,      2,2,19940715, 72.2967, 152.2817,   15,      5.0,  -0.6200,  19.8740,2,    451.9,2,    22.90,2,   1592.1,2,   1637.0,2,      219,2,     6352,  -0.6200
  90AQ19940706,Arctic,     6,  1,      1,2,19940715, 72.2967, 152.2817,   15,      1.0,  -0.4000,  17.4380,2,    433.1,2,    21.60,2,   1430.6,2,   1462.3,2,      185,2,     6353,  -0.4000
  90AQ19940706,Arctic,   203,  1,      1,2,19940715, 71.3333, 150.0000,   10,      0.0,-999.0000,   0.0000,2,   -999.0,9,  -999.00,9,    543.3,2,    480.3,2,      330,2,     6357,-999.0000
  90AQ19940706,Arctic,   121,  1,      1,2,19940716, 71.9417, 154.3733,   18,      3.0,-999.0000,  11.6000,2,   -999.0,9,    12.80,2,   -999.0,9,    858.3,2,       96,2,     6358,-999.0000
  90AQ19940706,Arctic,   122,  1,      1,2,19940716, 71.8517, 154.6867,   18,      3.0,-999.0000,  10.1430,2,   -999.0,9,    13.30,2,   -999.0,9,    794.8,2,       90,2,     6359,-999.0000
  90AQ19940706,Arctic,   123,  1,      1,2,19940716, 71.8533, 155.2600,   19,      3.0,-999.0000,  18.5980,2,   -999.0,9,    12.30,2,   -999.0,9,   1477.7,2,      137,2,     6360,-999.0000
  90AQ19940706,Arctic,   124,  1,      1,2,19940716, 71.9517, 156.0550,   19,      3.0,-999.0000,   8.6910,2,   -999.0,9,    13.90,2,   -999.0,9,    745.5,2,       98,2,     6361,-999.0000
  90AQ19940706,Arctic,   125,  1,      1,2,19940716, 71.8433, 156.2617,   19,      3.0,-999.0000,  17.7790,2,   -999.0,9,    13.60,2,   -999.0,9,   1591.5,2,       77,2,     6362,-999.0000
  90AQ19940706,Arctic,   126,  1,      1,2,19940716, 71.8333, 158.3667,   20,      3.0,-999.0000,  10.1810,2,   -999.0,9,  -999.00,9,   -999.0,9,    729.8,2,       69,2,     6363,-999.0000
  90AQ19940706,Arctic,   127,  1,      1,2,19940716, 71.7067, 159.3267,   20,      3.0,-999.0000,  14.2370,2,   -999.0,9,     9.60,2,   -999.0,9,    885.9,2,       66,2,     6364,-999.0000
  90AQ19940706,Arctic,   128,  1,      1,2,19940717, 71.5583, 159.9600,   21,      3.0,-999.0000,   7.1480,2,   -999.0,9,    11.70,2,   -999.0,9,    543.3,2,       50,2,     6365,-999.0000
  90AQ19940706,Arctic,   129,  1,      1,2,19940717, 71.3050, 161.0100,   17,      3.0,-999.0000,   6.3540,2,   -999.0,9,    10.00,2,   -999.0,9,    487.9,2,       34,2,     6366,-999.0000
  90AQ19940706,Arctic,   130,  1,      1,2,19940717, 71.1183, 161.6817,   21,      3.0,-999.0000,  15.2820,2,   -999.0,9,    24.20,2,   -999.0,9,   1145.2,2,       90,2,     6367,-999.0000
  90AQ19940706,Arctic,   131,  1,      1,2,19940718, 70.7800, 163.1167,   24,      3.0,-999.0000,   6.7950,2,   -999.0,9,    27.00,2,   -999.0,9,    597.2,2,      106,2,     6369,-999.0000
  90AQ19940706,Arctic,     7,  1,      5,2,19940717, 70.7800, 162.0983,   19,     18.1,  -1.1900,  25.2290,2,    278.9,2,    62.70,2,   1974.4,2,   1909.4,2,      101,2,     6371,  -1.1901
  90AQ19940706,Arctic,     7,  1,      4,2,19940717, 70.7800, 162.0983,   19,     15.1,  -1.1900,  24.9230,2,    329.0,2,    53.10,2,   1934.8,2,   1882.5,2,      130,2,     6372,  -1.1901
  90AQ19940706,Arctic,     7,  1,      3,2,19940717, 70.7800, 162.0983,   19,     10.1,  -1.1700,  23.2120,2,    399.5,2,    50.30,2,   1833.0,2,   1812.7,2,      107,2,     6373,  -1.1700
  90AQ19940706,Arctic,     7,  1,      2,2,19940717, 70.7800, 162.0983,   19,      5.0,  -0.9600,   8.8840,2,    474.3,2,    35.70,2,    798.1,2,    829.8,2,      155,2,     6374,  -0.9599
  90AQ19940706,Arctic,     7,  1,      1,2,19940717, 70.7800, 162.0983,   19,      1.0,  -0.3600,   6.2030,2,    470.0,2,    25.80,2,    529.9,2,    568.6,2,      102,2,     6375,  -0.3600
  90AQ19940706,Arctic,     8,  1,      4,2,19940719, 70.2333, 164.2167,   19,     13.1,  -1.0800,  25.3550,2,    380.4,2,    47.00,2,   1870.3,2,   1862.8,2,      133,2,     6376,  -1.0801
  90AQ19940706,Arctic,     8,  1,      3,2,19940719, 70.2333, 164.2167,   19,     10.1,  -1.1300,  24.8360,2,    415.1,2,    45.00,2,   1853.4,2,   1850.4,2,      143,2,     6377,  -1.1301
  90AQ19940706,Arctic,     8,  1,      2,2,19940719, 70.2333, 164.2167,   19,      5.0,  -1.0200,  24.5090,2,    427.8,2,    44.00,2,   1830.7,2,   1830.7,2,      106,2,     6378,  -1.0200
  90AQ19940706,Arctic,     8,  1,      1,2,19940719, 70.2333, 164.2167,   19,      1.0,  -0.8800,  24.2390,2,    424.4,2,    45.20,2,   1813.3,2,   1834.0,2,      146,2,     6379,  -0.8800
  90AQ19940706,Arctic,   204,  1,      1,2,19940718, 69.2500, 161.5833,    1,      0.0,-999.0000,   0.0000,2,   -999.0,9,    77.10,2,    807.4,2,    715.4,2,      328,2,     6368,-999.0000
  90AQ19940706,Arctic,   205,  1,      1,2,19940718, 69.3333, 162.0000,    1,      0.0,-999.0000,   0.0000,2,   -999.0,9,    83.80,2,    141.7,2,     65.0,2,      273,2,     6370,-999.0000
  90AQ19940706,Arctic,   132,  1,      1,2,19940720, 70.1083, 166.5733,   35,      0.0,-999.0000,  10.4020,2,   -999.0,9,    16.70,2,   -999.0,9,    794.1,2,       50,2,     6380,-999.0000
  90AQ19940706,Arctic,   133,  1,      1,2,19940720, 70.0517, 167.5400,   38,      3.0,-999.0000,  20.0290,2,   -999.0,9,    23.70,2,   -999.0,9,   1387.5,2,       61,2,     6381,-999.0000
  90AQ19940706,Arctic,   134,  1,      1,2,19940721, 70.2700, 169.9033,   38,      3.0,-999.0000,  24.6700,2,   -999.0,9,    31.50,2,   -999.0,9,   1711.5,2,      104,2,     6388,-999.0000
  90AQ19940706,Arctic,     9,  1,      6,2,19940721, 70.2517, 168.3417,   39,     37.3,  -1.5100,  31.3660,2,    231.5,2,    62.70,2,   2168.8,2,   2143.4,2,       82,2,     6382,  -1.5106
  90AQ19940706,Arctic,     9,  1,      5,2,19940721, 70.2517, 168.3417,   39,     25.2,  -1.4700,  30.7480,2,    259.2,2,    55.80,2,   2133.7,2,   2107.8,2,       78,2,     6383,  -1.4704
  90AQ19940706,Arctic,     9,  1,      4,2,19940721, 70.2517, 168.3417,   39,     20.2,  -1.4600,  29.3770,2,    340.3,2,    36.50,2,   2003.7,2,   2031.2,2,       92,2,     6384,  -1.4603
  90AQ19940706,Arctic,     9,  1,      3,2,19940721, 70.2517, 168.3417,   39,     10.1,  -1.4200,  28.4650,2,    389.4,2,    27.50,2,   1914.9,2,   1968.0,2,       90,2,     6385,  -1.4201
  90AQ19940706,Arctic,     9,  1,      2,2,19940721, 70.2517, 168.3417,   39,      4.0,  -1.3800,  28.1600,2,    391.2,2,    27.40,2,   1904.9,2,   1945.4,2,       87,2,     6386,  -1.3800
  90AQ19940706,Arctic,     9,  1,      1,2,19940721, 70.2517, 168.3417,   39,      1.0,  -0.2300,   4.0930,2,    424.4,2,     5.50,2,    310.5,2,    284.3,2,       28,2,     6387,  -0.2300
  90AQ19940706,Arctic,    10,  1,      6,2,19940724, 70.2633, 170.4383,   36,     30.2,  -1.5800,  32.3200,2,    258.5,2,    56.70,2,   2202.8,2,   2202.2,2,       77,2,     6392,  -1.5805
  90AQ19940706,Arctic,    10,  1,      5,2,19940724, 70.2633, 170.4383,   36,     25.2,  -1.5200,  31.8790,2,    267.3,2,    54.60,2,   2181.5,2,   2163.3,2,       73,2,     6393,  -1.5204
  90AQ19940706,Arctic,    10,  1,      4,2,19940724, 70.2633, 170.4383,   36,     20.2,  -1.4400,  29.8730,2,    317.3,2,    45.70,2,   2061.2,2,   2063.9,2,      102,2,     6394,  -1.4403
  90AQ19940706,Arctic,    10,  1,      3,2,19940724, 70.2633, 170.4383,   36,     15.1,  -1.4400,  28.3020,2,    385.7,2,    34.30,2,   1931.7,2,   1963.6,2,      102,2,     6395,  -1.4402
  90AQ19940706,Arctic,    10,  1,      2,2,19940724, 70.2633, 170.4383,   36,      5.0,  -1.3800,  27.6710,2,    397.6,2,    32.10,2,   1882.2,2,   1926.4,2,      113,2,     6396,  -1.3800
  90AQ19940706,Arctic,    10,  1,      1,2,19940724, 70.2633, 170.4383,   36,      1.0,  -0.9700,   9.4750,2,    428.7,2,    11.80,2,    626.4,2,    655.8,2,       57,2,     6397,  -0.9700
  90AQ19940706,Arctic,   135,  1,      1,2,19940722, 70.2333, 170.3750,   36,      3.0,-999.0000,   7.3550,2,   -999.0,9,    10.20,2,   -999.0,9,    512.6,2,       52,2,     6389,-999.0000
  90AQ19940706,Arctic,   136,  1,      1,2,19940723, 70.2583, 170.4467,   36,      3.0,-999.0000,  15.1670,2,   -999.0,9,    18.50,2,   -999.0,9,   1029.0,2,       72,2,     6390,-999.0000
  90AQ19940706,Arctic,   206,  1,      1,2,19940723, 71.0000, 178.6667,   10,      0.0,-999.0000,   0.0010,2,   -999.0,9,    29.40,2,    767.5,2,    712.6,2,      100,2,     6391,-999.0000
  90AQ19940706,Arctic,   207,  1,      1,2,19940726, 71.0000, 178.6667,   10,      0.0,-999.0000,   0.0000,2,   -999.0,9,    27.60,2,    606.2,2,    565.4,2,       86,2,     6398,-999.0000
  90AQ19940706,Arctic,   208,  1,      1,2,19940726, 71.0000, 178.6667,   10,      0.0,-999.0000,   0.0000,2,   -999.0,9,    39.10,2,   1406.7,2,   1378.8,2,       58,2,     6399,-999.0000
  90AQ19940706,Arctic,   137,  1,      1,2,19940726, 70.2117, 168.2767,   39,      3.0,-999.0000,   6.5190,2,   -999.0,9,    10.80,2,   -999.0,9,    458.0,2,       51,2,     6400,-999.0000
  90AQ19940706,Arctic,   138,  1,      1,2,19940727, 70.1400, 167.3600,   37,      3.0,-999.0000,  21.0320,2,   -999.0,9,    24.90,2,   -999.0,9,   1540.9,2,       94,2,     6401,-999.0000
  90AQ19940706,Arctic,   139,  1,      1,2,19940728, 70.7400, 162.8683,   19,      3.0,-999.0000,   9.3510,2,   -999.0,9,    43.80,2,   -999.0,9,    887.1,2,      279,2,     6403,-999.0000
  90AQ19940706,Arctic,    11,  1,      5,2,19940729, 72.4050, 155.6850,   23,     19.1,  -0.9100,  25.0270,2,    391.1,2,    28.30,2,   1811.1,2,   1940.5,2,      140,2,     6405,  -0.9102
  90AQ19940706,Arctic,    11,  1,      4,2,19940729, 72.4050, 155.6850,   23,     15.1,  -0.9100,  23.2500,2,    396.1,2,    28.50,2,   1603.6,2,   1705.1,2,      188,2,     6406,  -0.9101
  90AQ19940706,Arctic,    11,  1,      3,2,19940729, 72.4050, 155.6850,   23,     10.1,  -1.0500,  23.2530,2,    395.9,2,    25.00,2,   1680.6,2,   1715.0,2,      292,2,     6407,  -1.0500
  90AQ19940706,Arctic,    11,  1,      2,2,19940729, 72.4050, 155.6850,   23,      5.0,  -1.0400,  23.2550,2,    396.0,2,    28.10,2,   1678.6,2,   1717.3,2,      129,2,     6408,  -1.0400
